Question,text
How and by what methods data visualizations can be effectively used?,"In addition to giving insights in a very effective and efficient manner, data 
visualization can also be used in such a way that it is not only restricted to bar, line or 
some stereotypic graphs. Data can be represented in a much more visually pleasing 
manner. 
One thing has to be taken care of is to convey the intended insight or finding correctly to 
the audience. Once the baseline is set. Innovative and creative part can help you come 
up with better looking and functional dashboards. There is a fine line between the 
simple insightful dashboard and awesome looking 0 fruitful insight dashboards."
What is the common perception of visualization?,"People think visualization as just charts and summary information. But they 
are beyond that and drive business with a lot of underlying principles. Learning design 
principles can help anyone build effective and efficient visualizations and this Tableau 
prep tool can drastically increase our time on focusing more important part. The only 
issue with Tableau is, it is paid and companies need to pay for leveraging that awesome 
tool."
Where to seek help in case of discrepancies in Tableau?,"When you face any issue regarding Tableau, try searching in the Tableau 
community forum. It is one of the best places to get your queries answered. You can 
always write your question and get the query answered with an hour or a day. You can 
always post on LinkedIn and follow people."
Why is data cleaning essential in Data Science?,"Data cleaning is more important in Data Science because the end results or 
the outcomes of the data analysis come from the existing data where useless or 
unimportant need to be cleaned periodically as of when not required. This ensures the 
data reliability & accuracy and also memory is freed up. 
Data cleaning reduces the data redundancy and gives good results in data analysis 
where some large customer information exists and that should be cleaned periodically. 
In businesses like e-commerce, retail, government organizations contain large customer 
transaction information which is outdated and needs to be cleaned. 
Depending on the amount or size of data, suitable tools or methods should be used to 
clean the data from the database or big data environment. There are different types of 
data existing in a data source such as dirty data, clean data, mixed clean and dirty data 
and sample clean data. 
Modern data science applications rely on machine learning model where the learner 
learns from the existing data. So, the existing data should always be cleanly and well 
maintained to get sophisticated and good outcomes during the optimization of the 
system."
What is A/B testing in Data Science?,"A/B testing is also called Bucket Testing or Split Testing. This is the method 
of comparing and testing two versions of systems or applications against each other to 
determine which version of application performs better. This is important in the cases 
where multiple versions are shown to the customers or end-users in order to achieve 
the goals. 
In the area of Data Science, this A/B testing is used to know which variable out of the 
existing two variables in order to optimize or increase the outcome of the goal. A/B 
testing is also called Design of Experiment. This testing helps in establishing a cause 
and effect relationship between the independent and dependent variables. 
This testing is also simply a combination of design experimentation or statistical 
inference. Significance, Randomization and Multiple Comparisons are the key elements 
of the A/B testing. 
The significance is the term for the significance of statistical tests conducted. 
Randomization is the core component of the experimental design where the variables 
will be balanced. Multiple comparisons are the way of comparing more variables in the 
case of customer interests that causes more false positives resulting in the requirement 
of correction in the confidence level of a seller in the area of e-commerce."
How Machine Learning Is Deployed In Real World Scenarios?,"Here are some of the scenarios in which machine learning finds applications in 
the real world: 
Ecommerce: Understanding customer churn, deploying targeted advertising, 
remarketing. 
Search engine: Ranking pages depending on the personal preferences of the searcher 
Finance: Evaluating investment opportunities & risks, detecting fraudulent transactions 
Medicare: Designing drugs depending on the patient’s history and needs 
Robotics: Machine learning for handling situations that are out of the ordinary 
Social media: Understanding relationships and recommending connections 
Extraction of information: framing questions for getting answers from databases over 
the web."
What Is Power Analysis?,"power analysis is a vital part of the experimental design. It is involved with the 
process of determining the sample size needed for detecting an effect of a given size 
from a cause with a certain degree of assurance. It lets you deploy a specific probability 
in a sample size constraint.  
The various techniques of statistical power analysis and sample size estimation are 
widely deployed for making the statistical judgment that is accurate and evaluates the 
size needed for experimental effects in practice. 
Power analysis lets you understand the sample size estimate so that they are neither 
high nor low. A low sample size there will be no authentication to provide reliable 
answers and if it is large there will be wastage of resources."
What Is K-means? How Can You Select K For K-means?,"K-means clustering can be termed as the basic unsupervised learning 
algorithm. It is the method of classifying data using a certain set of clusters called K 
clusters. It is deployed for grouping data in order to find similarity in the data. 
It includes defining the K centers, one each in a cluster. The clusters are defined into K 
groups with K being predefined. The K points are selected at random as cluster centers. 
The objects are assigned to their nearest cluster center. The objects within a cluster are 
as closely related to one another as possible and differ as much as possible to the 
objects in other clusters. K-means clustering works very well for large sets of data."
Why is resampling done?,"Resampling is done in any of these cases: 
Estimating the accuracy of sample statistics by using subsets of accessible data or 
drawing randomly with replacement from a set of data points 
Substituting labels on data points when performing significance tests 
Validating models by using random subsets (bootstrapping, cross-validation)"
What tools or devices help you succeed in your role as a data scientist?,"This question’s purpose is to learn the programming languages and 
applications the candidate knows and has experience using. The answer will show the 
candidate’s need for additional training of basic programming languages and platforms 
or any transferable skills. This is vital to understand as it can cost more time and money 
to train if the candidate is not knowledgeable in all of the languages and applications 
required for the position."
Why do you want to work at this company as a data scientist?,"The purpose of this question is to determine the motivation behind the 
candidate’s choice of applying and interviewing for the position. Their answer should 
reveal their inspiration for working for the company and their drive for being a data 
scientist. It should show the candidate is pursuing the position because they are 
passionate about data and believe in the company, two elements that can determine the 
candidate’s performance. Answers to look for include: 
Interest in data mining 
Respect for the company’s innovative practices 
Desire to apply analytical skills to solve real-world issues with data 
“I have a passion for working for data-driven, innovative companies. Your firm uses 
advanced technology to address everyday problems for consumers and businesses 
alike, which I admire. I also enjoy solving issues using an analytical approach and am 
passionate about incorporating technology into my work. I believe that my skills and 
passion match the company’s drive and capabilities.”"
What are the differences between overfitting and underfitting?,"In statistics and machine learning, one of the most common tasks is to fit a 
model to a set of training data, so as to be able to make reliable predictions on general 
untrained data. 
In overfitting, a statistical model describes random error or noise instead of the 
underlying relationship. Overfitting occurs when a model is excessively complex, such 
as having too many parameters relative to the number of observations. A model that 
has been overfitting has poor predictive performance, as it overreacts to minor 
fluctuations in the training data. 
Underfitting occurs when a statistical model or machine learning algorithm cannot 
capture the underlying trend of the data. Underfitting would occur, for example, when 
fitting a linear model to non-linear data. Such a model too would have poor predictive 
performance."
What is Machine Learning?,"Machine Learning explores the study and construction of algorithms that can 
learn from and make predictions on data. Closely related to computational statistics. 
Used to devise complex models and algorithms that lend themselves to a prediction 
which in commercial use is known as predictive analytics."
"Can you enumerate the various differences between Supervised and 
Unsupervised Learning?","Supervised learning is a type of machine learning where a function is inferred 
from labeled training data. The training data contains a set of training examples. 
Unsupervised learning, on the other hand, is a type of machine learning where 
inferences are drawn from datasets containing input data without labeled responses. 
Following are the various other differences between the two types of machine learning: 
Algorithms Used – Supervised learning makes use of Decision Trees, K-nearest 
Neighbor algorithm, Neural Networks, Regression, and Support Vector Machines. 
Unsupervised learning uses Anomaly Detection, Clustering, Latent Variable Models, 
and Neural Networks. 
Enables – Supervised learning enables classification and regression, whereas 
unsupervised learning enables classification, dimension reduction, and density 
estimation 
Use – While supervised learning is used for prediction, unsupervised learning finds use 
in analysis"
What is underfitting?,"Any prediction rate which has provides low prediction in the training error and 
the test error leads to a high business problem, if the error rate in training set is high 
and the error rate in the test set is also high, then we can conclude it as overfitting 
model."
How to understand the problems faced during data analysis?,"Most of the problem faced during hands-on analysis or data science is 
because of poor understanding of the problem in hand and concentrating more on tools, 
end results and other aspects of the project. 
Breaking the problem down to a granular level and understanding takes a lot of time 
and practice to master. Coming back to square one in data science projects can be 
seen in a lot of companies and even in your own project or kaggle problems."
What does SAS stand out to be the best over other data analytics tools?,"Ease to understand: The provisions included in SAS are remarkably easy to 
learn. Further, it offers the most suitable option for those who already are aware of the 
SQL. On the other hand, R comes with a steep training cover which is supposed to be a 
low-level programming style. 
Data Handling Capacities: it is at par the most leading tool which also includes the R& 
Python. 
If it advances before handling the huge data, it is the best platform to engage Graphical 
Capacities: it comes with functional graphical capacities and has a limited knowledge 
field. 
It is useful to customize the plots Better tool management: It benefits in a release the 
updates with regards to the controlled conditions. 
This is the main reason why it is well tested. Whereas if you considered R&Python, it 
has open contribution also the risk of errors in the current development is also high."
What is the best Programming Language to use in Data Science?,"Data Science can be handled by using programming languages like Python or 
R programming language. These two are the two most popular languages being used 
by the Data Scientists or Data Analysts. R and Python are open source and are free to 
use and came into existence during the 1990s. 
Python and R have different advantages depending on the applications and required a 
business goal. Python is better to be used in the cases of repeated tasks or jobs and for 
data manipulations whereas R programming can be used for querying or retrieving 
datasets and customized data analysis. 
Mostly Python is preferred for all types of data science applications where some time R 
programming is preferred in the cases of high or complex data applications. Python is 
easier to learn and has less learning curve whereas R has a deep learning curve. 
Python is mostly preferred in all the cases which is a general-purpose programming 
language and can be found in many applications other than Data Science too. R is 
mostly seen in Data Science area only where it is used for data analysis in standalone 
servers or computing separately."
What is a Linear Regression in Data Science?,"This is the frequently asked Data Science Interview Questions in an interview. 
Linear Regression is a technique used in supervised machine learning the algorithmic 
process in the area of Data Science. This method is used for predictive analysis. 
Predictive analytics is an area within Statistical Sciences where the existing information 
will be extracted and processed to predict the trends and outcomes pattern. The core of 
the subject lies in the analysis of existing context to predict an unknown event. 
The process of Linear Regression method is to predict a variable called target variable 
by making the best relationship between the dependent variable and an independent 
variable. Here the dependent variable is the outcome variable and also response 
variable whereas the independent variable is the predictor variable or explanatory 
variable. 
For example in real life, depending on the expenses occurred in this financial year or 
monthly expenses, the predictions happen by calculating the approximate upcoming 
months or financial years expenses. 
In this method, the implementation can be done by using Python programming 
technique where this is the most important method used in Machine Learning technique 
under the area of Data Science. 
Linear regression is also called Regression analysis that comes under the area of 
Statistical Sciences which is integrated together with Data Science."
What Is A Recommender System?,"A recommender system is a today widely deployed in multiple fields like movie 
recommendations, music preferences, social tags, research articles, search queries and 
so on. The recommender systems work as per collaborative and content-based filtering 
or by deploying a personality-based approach. This type of system works based on a 
person’s past behavior in order to build a model for the future. This will predict future 
product buying, movie viewing or book reading by people. It also creates a filtering 
approach using the discrete characteristics of items while recommending additional 
items."
How Do Data Scientists Use Statistics?,"Statistics help Data Scientists to look into the data for patterns, hidden insights 
and convert Big Data into Big insights. It helps to get a better idea of what the 
customers are expecting. Data Scientists can learn about consumer behavior, interest, 
engagement, retention and finally conversion all through the power of insightful 
statistics. It helps them to build powerful data models in order to validate certain 
inferences and predictions. All this can be converted into a powerful business 
proposition by giving users what they want at precisely when they want it."
What Do You Understand By The Term Normal Distribution?,"It is a set of a continuous variable spread across a normal curve or in the 
shape of a bell curve. It can be considered as a continuous probability distribution and is 
useful in statistics. It is the most common distribution curve and it becomes very useful 
to analyze the variables and their relationships when we have the normal distribution 
curve. 
The normal distribution curve is symmetrical. The non-normal distribution approaches 
the normal distribution as the size of the samples increases. It is also very easy to 
deploy the Central Limit Theorem. This method helps to make sense of data that is 
random by creating an order and interpreting the results using a bell-shaped graph."
What is collaborative filtering?,"Filtering is a process used by recommender systems to find patterns and 
information from numerous data sources, several agents, and collaborating 
perspectives. In other words, the collaborative method is a process of making automatic 
predictions from human preferences or interests."
Explain the difference between overfitting and underfitting?,"In machine learning as well as in statistics, the common task to undergo is to 
fit a model to a set of training data. It helps us in making reliable predictions using 
general untrained data. 
In overfitting, a statistical model will help us in letting know the random noise or errors 
instead of the underlying relationship. Overfitting comes into light when the data is 
associated with too much complexity, which means it is associated with so many 
parameters relative to the number of observations. A model that is overfitted is always 
performed poor in predictive performance and acts overly to the minor fluctuations in the 
training data. 
Unnderfittinng happens when a machine learning algorithm or statistical model is unable 
to focus on the underlying insights of the data. The case when you are trying to fix a 
linear model to a nonlinear one. This kind of model would result in poor predictive 
performance."
What is systematic sampling?,"Systematic sampling is a technique, and the name resembles that it follows 
some systematic way, and the samples are selected from an ordered sampling frame. 
In systematic sampling, the list is actually in a circular manner and the selection starts 
from one end and reaches the final, and the cycle goes on. Equal probability method 
would be the best example for the systematic sampling."
What are recommender systems?,"Recommender systems are also treated as information filtering systems that 
work to predict or likeness of a user for a product. These recommender systems are 
widely used in areas like news, movies, social tags, music, products, etc. 
We can see the movie recommenders in Netflix, IMDB, & bookMyShow, and product 
recommender e-commerce sites like eBay, Amazon, Flipcart, Youtube video 
recommendations, and game recommendations."
What are Artificial Neural Networks?,"Artificial neural networks are the main elements which have made the 
machine learning popular. These neural networks are developed based on the 
functionality of a human brain. The Artificial neural networks are trained to learn from 
the examples and experiences without being programmed explicitly. Artificial neural 
networks work based on nodes called artificial neurons that are connected to one 
another. Each connection acts similar to synapses in the human brain that helps in 
transmitting the signals between the artificial neurons."
Explain the role of Activation function?,"The activation function helps in introducing the nonlinearity into the neural 
network that enables the neural network to learn the complex functions. Without this, it 
is challenging for the linear function to analyze complex data. An activation function is a 
function is an artificial neuron which delivers the output based on the input given."
"What is the difference between Supervised Learning an Unsupervised 
Learning?","If an algorithm learns something from the training data so that the knowledge 
can be applied to the test data, then it is referred to as Supervised Learning. 
Classification is an example for Supervised Learning. If the algorithm does not learn 
anything beforehand because there is no response variable or any training data, then it 
is referred to as unsupervised learning. Clustering is an example of unsupervised 
learning."
What is the Central Limit Theorem and why is it important?,"“Suppose that we are interested in estimating the average height among all 
people. Collecting data for every person in the world is impossible. While we can’t 
obtain a height measurement from everyone in the population, we can still sample some 
people. The question now becomes, what can we say about the average height of the 
entire population given a single sample."
What are the feature vectors?,"A feature vector is an n-dimensional vector of numerical features that 
represent some object. In machine learning, feature vectors are used to represent 
numeric or symbolic characteristics, called features, of an object in a mathematical, 
easily analyzable way."
What is Cluster Sampling?,"Cluster sampling is a technique used when it becomes difficult to study the 
target population spread across a wide area and simple random sampling cannot be 
applied. Cluster Sample is a probability sample where each sampling unit is a collection 
or cluster of elements. 
For eg., A researcher wants to survey the academic performance of high school 
students in Japan. He can divide the entire population of Japan into different clusters 
(cities). Then the researcher selects a number of clusters depending on his research 
through simple or systematic random sampling."
What are the various steps involved in an analytics project?,"The following are the various steps involved in an analytics project: 
Understand the Business problem 
Explore the data and become familiar with it. 
Prepare the data for modeling by detecting outliers, treating missing values, 
transforming variables, etc. 
After data preparation, start running the model, analyze the result and tweak the 
approach. This is an iterative step until the best possible outcome is achieved. 
Validate the model using a new data set. 
Start implementing the model and track the result to analyze the performance of the 
model over the period of time."
Please explain Eigenvectors and Eigenvalues?,"Eigenvectors help in understanding linear transformations. They are 
calculated typically for a correlation or covariance matrix in data analysis. 
In other words, eigenvectors are those directions along which some particular linear 
transformation acts by compressing, flipping, or stretching. 
Eigenvalues can be understood either as the strengths of the transformation in the 
direction of the eigenvectors or the factors by which the compressions happens."
What are outlier values and how do you treat them?,"Outlier values, or simply outliers, are data points in statistics that don’t belong 
to a certain population. An outlier value is an abnormal observation that is very much 
different from other values belonging to the set. 
Identification of outlier values can be done by using univariate or some other graphical 
analysis method. Few outlier values can be assessed individually but assessing a large 
set of outlier values require the substitution of the same with either the 99th or the 1st 
percentile values. 
There are two popular ways of treating outlier values: 
To change the value so that it can be brought within a range 
To simply remove the value 
Note:  Not all extreme values are outlier values."
How to choose the right chart in case of creating a viz?,"Using the right chart to represent data is one of the key aspects of data 
visualization and design principle. You will always have options to choose from when 
deciding on a chart. But fixing to the right chart comes only by experience, practice and 
deep understanding of end-user needs. That dictates everything in the dashboard."
What is the basic responsibility of a Data Scientist?,"As a data scientist, we have the responsibility to make complex things simple 
enough that anyone without context should understand, what we are trying to convey. 
The moment, we start explaining even the simple things the mission of making the 
complex simple goes away. This happens a lot when we are doing data visualization. 
Less is more. Rather than pushing too much information on to readers brain, we need to 
figure out how easily we can help them consume a dashboard or a chart. 
The process is simple to say but difficult to implement. You must bring the complex 
business value out of a self-explanatory chart. It’s a skill every data scientist should 
strive towards and good to have in their arsenal."
What is the difference between Machine learning Vs Data Mining?,"Data mining is about working on unlimited data and then extract it to a level 
anywhere the unusual and unknown patterns are identified. 
Machine learning is any method about a study whether it closely relates to design, 
development concerning the algorithms that provide an ability to certain computers to 
capacity to learn."
What are the types of biases that can occur during sampling?,"Some simple models of selection bias are described below. Undercoverage 
occurs when some members of the population live badly represented inside the sample. 
… The survey relied on a service unit, drawn of telephone directories and car 
registration lists. 
• 
Selection bias 
• 
Under coverage bias 
• 
Survivorship bias"
Why data cleaning plays a vital role in the analysis?,"Cleaning data from multiple sources to transform it into a format that data 
analysts or data scientists can work with is a cumbersome process because – as the 
number of data sources increases, the time take to clean the data increases 
exponentially due to the number of sources and the volume of data generated in these 
sources. It might take up to 80% of the time for just cleaning data making it a critical part 
of the analysis task."
What are an Eigenvalue and Eigenvector?,"Eigenvectors are used for understanding linear transformations. In data 
analysis, we usually calculate the eigenvectors for a correlation or covariance matrix. 
Eigenvectors are the directions along which a particular linear transformation acts by 
flipping, compressing or stretching. Eigenvalue can be referred to as the strength of the 
transformation in the direction of eigenvector or the factor by which the compression 
occurs."
Define some key performance indicators for the product,"After playing around with the product, think about this: what are some of the 
key metrics that the product might want to optimize? Part of a data scientist’s role in 
certain companies involves working closely with the product teams to help define, 
measure, and report on these metrics. This is an exercise you can go through by 
yourself at home, and can really help during your interview process"
Why is data cleaning important for analysis?,"This is a knowledge-based question with a relatively simple answer. So much 
of a data scientist’s time goes into cleaning data – and as the data gets bigger, so does 
the time it takes to clean. Cleaning it right is the foundation of analysis, and the time it 
takes to clean data, alone, makes it important."
Do you prefer Python or R for text analytics?,"Here, you’re being asked to insert your own opinion. However, most data 
scientists agree that the right opinion is Python. This is because Python has Pandas 
library which has strong data analysis tools and an easy-to-use structure. What’s more, 
Python is typically faster for text analytics."
Explain Star Schema?,"It is a traditional database schema with a central table. Satellite tables map 
ID’s to physical name or description and can be connected to the central fact table using 
the ID fields; these tables are known as lookup tables, and are principally useful in real-
time applications, as they save a lot of memory. Sometimes star schemas involve 
several layers of summarization to recover information faster."
What do you mean by word Data Science?,"Data Science is the extraction of knowledge from large volumes of data that 
are structured or unstructured, which is a continuation of the field data mining and 
predictive analytics, It is also known as knowledge discovery and data mining."
What do you understand by term hash table collisions?,"Hash table (hash map) is a kind of data structure used to implement an 
associative array, a structure that can map keys to values. Ideally, the hash function will 
assign each key to a unique bucket, but sometimes it is possible that two keys will 
generate an identical hash causing both keys to point to the same bucket. It is known as 
hash collisions."
How can you assess a good logistic model?,"There are various methods to assess the results of logistic regression 
analysis- 
Using Classification Matrix to look at the true negatives and false positives. 
Concordance that helps identify the ability of the logistic model to differentiate between 
the event happening and not happening. 
Lift helps assess the logistic model by comparing it with random selection."
Why do you want to work as a data scientist?,"This question plays off of your definition of data science. However, now 
recruiters are looking to understand what you’ll contribute and what you’ll gain from this 
field. Focus on what makes your path to becoming a data scientist unique – whether it 
be a mentor or a preferred method of data extraction."
How have you overcome a barrier to finding a solution?,"This question directly asks you to draw upon your experiences and your ability 
to problem-solve. Data scientists are, after all, numbers-based problem-solvers, so, it’s 
important to determine an example of a problem you’ve solved ahead of time. Whether 
it’s through re-cleaning data or using a different program, you should be able to explain 
your process to the recruiter."
How To Work Towards A Random Forest?,"The underlying principle of this technique is that several weak learners 
combined provide a strong learner. The steps involved are 
Build several decision trees on bootstrapped training samples of data 
On each tree, each time a split is considered, a random sample of mm predictors is 
chosen as split candidates, out of all pp predictors 
Rule of thumb: at each split m=p√m=p 
Predictions: at the majority rule."
Explain Cross-validation?,"It is a model validation technique for evaluating how the outcomes of a 
statistical analysis will generalize to an independent data set. Mainly used in 
backgrounds where the objective is forecast and one wants to estimate how accurately 
a model will accomplish in practice. 
The goal of cross-validation is to term a data set to test the model in the training phase 
(i.e. validation data set) in order to limit problems like overfitting and get an insight on 
how the model will generalize to an independent data set."
What is a Linear Regression?,"Linear regression is a statistical technique where the score of a variable Y is 
predicted from the score of a second variable X. X is referred to as the predictor 
variable and Y as the criterion variable."
Can you explain the difference between a Test Set and a Validation Set?,"Validation set can be considered as a part of the training set as it is used for 
parameter selection and to avoid Overfitting of the model being built. On the other hand, 
the test set is used for testing or evaluating the performance of a trained machine 
learning model. 
In simple terms, the differences can be summarized as- 
Training Set is to fit the parameters i.e. weights. 
Test Set is to assess the performance of the model i.e. evaluating the predictive power 
and generalization."
How do you define data science?,"This question allows you to show your interviewer who you are. For example, 
what’s your favorite part of the process, or what’s the most impactful project you’ve 
worked on? Focus first on what data science is to everyone – a means of extracting 
insights from numbers – then explain what makes it personal."
What devices or tools help you most as a data scientist?,"By asking this question, recruiters are seeking to learn more about your 
qualifications. Explain how you utilize every coding language you know, from R to SQL, 
and how each language helps complete certain tasks. This is also an opportunity to 
explain more about how your education or methods go above and beyond."
How often should an algorithm be updated?,"This quasi-trick question has no specific time-based answer. This is because 
an algorithm should be updated whenever the underlying data is changing or when you 
want the model to evolve over time. Understanding the outcomes of dynamic algorithms 
is key to answering this question with confidence."
Python or R – Which one would you prefer for text analytics?,"The best possible answer for this would be Python because it has Pandas 
library that provides easy to use data structures and high-performance data analysis 
tools."
What is an Auto-Encoder?,"The Auto-Encoders are learning networks that work for transforming the inputs 
into outputs with no errors or minimized error. It means the output must be very close to 
the input. We add a few layers between the input and output and the sizes of these 
layers would be smaller than the input layer. Actually, the Auto-encoder is provided with 
the unlabelled input then it would be transmitted into reconstructing the input."
What is back Propagation?,"Backpropagation is an algorithm used in Deep Learning to train the multilayer 
neural network. Using this method, we can move an error form an end of a network to 
the inside of it, and that brings the efficient computation of gradient. 
It consists of the below-mentioned steps: 
Forward data propagation of data that is being used for training 
Derivatives are computed with the help of output and target. 
Backpropagation for computing the derivative error. 
You can use the output that was previously calculated for output. 
Update the weights."
How can the outlier values be treated?,"We can identify the outlier values by using graphical analysis method or by 
using Univariate method. It becomes easier and can be assessed individually when the 
outlier values are few but when the outlier values are more in number then these values 
required to be substituted either with the 1st or with the 99th percentile values. 
Below are the common ways to treat outlier values. 
To bring down and change the value 
To remove the value"
"Explain the difference between Univariate, Bivariate and Multivariate analysis?","Univariate analysis is a descriptive analysis and can be used to differentiate 
the number of variables involved at a given point of time. For instance, the sales of a 
particular territory include only one variable, and then the same is treated as a 
Univariate analysis. 
Bivariate analysis is used to understand the difference between two variables at a given 
time on the scatter pilot. The best example for bivariate analysis of the difference 
between the sale and expenses happens for a particular product. 
Multivariate analysis is used to understand the more than two variables responses for 
the variables."
What makes the difference between “Long” and “Wide” Format data?,"In a wide format method, when we take a subject, the repeated responses are 
recorded in a single row, and each recorded response is in a separate column. When it 
comes to Long format data, each row acts as a one-time point per subject. In wide 
format, the columns are generally divided into groups whereas in a long-form the rows 
are divided into groups."
"Do we have different Selection Biases, if yes, what are they?","Sampling Bias: This bias arises when you select only particular people or 
when non-random selection of samples happened. In general terms, it is nothing but a 
selection of the majority of the people belong to one group. 
Time Interval: sometimes a trial may be terminated earlier than actual time (probably 
due to some ethical reasons) but the extreme value finally taken into consideration is 
the most significant value even though all other variables have similar Mean. 
Data: We can name it as a Data bias when a separate set of data is taken to support a 
conclusion or eliminates terrible data based on the arbitrary grounds, instead of 
generally relying on generally stated criteria. 
Attrition bias: Attrition bias is defined as an error that occurs due to Unequal loss of 
participants from a randomized controlled trial (RCT)."
What is meant by supervised and unsupervised learning in data?,"Supervised Learning: Supervised learning is a process of training machines 
with the labeled or right kind of data. In supervised learning, the machine uses the 
labeled data as a base to give the next answer. 
Unsupervised learning: It is another form of training machines using information which is 
unlabeled or unstructured one. Unlike Supervised learning, there is no special teacher 
or predefined data for the machine to quickly learn from."
What is Data Science?,"Data science is defined as a multidisciplinary subject used to extract 
meaningful insights out of different types of data by employing various scientific 
methods such as scientific processes and algorithms. Data science helps in solving the 
analytically complex problems in a simplified way. It acts as a stream where you can 
utilize raw data to generate business value."
What is Cross-validation?,"It is a model validation technique used to evaluate how the statistical analysis 
would generalize to an independent dataset. This could be helpful in the areas of 
backgrounds where the objective is exactly forecasted, and the people want to estimate 
how accurately the model would work in real-time. 
The main ambition of cross-validation is to test a model that is to test a model which is 
in the training phase and limit the problems like overfitting and to get insights on how to 
generalize the to an independent data set."
How can the outlier values be treated?,"We can identify the outlier values by using graphical analysis method or by 
using Univariate method. It becomes easier and can be assessed individually when the 
outlier values are few but when the outlier values are more in number then these values 
required to be substituted either with the 1st or with the 99th percentile values. 
Below are the common ways to treat outlier values. 
To bring down and change the value 
To remove the value"
List the variants of backpropagation?,"Below mentioned are the three different variants of backpropagation 
Stochastic Gradient Descent: In this module, we take the help of the single training as 
an example for updating the parameters and for calculation of gradient. 
Batch Gradient Descent: in this backpropagation method, we consider whole data to 
calculating the gradient and executes the update at each iteration. 
Mini-batch Gradient Descent: It is considered as a popular optimization algorithm in 
deep learning. In this Mini-batch gradient Descent instead of single training example, 
mini-batch of samples is used."
What is a Boltzmann machine?,"Boltzmann developed with simple learning algorithms that allow them to find 
the important information that was presented in the complex regularities in the data. 
These machines are generally used to optimize the quantity and the weights of the 
given problem. The learning program works very slow in networks due to many layers of 
feature detectors. When we consider Restricted Boltzmann Machines, this has a single 
algorithm feature detectors that make it faster compared to others."
Do gradient descent methods at all times converge to a similar point?,"No, they do not because in some cases they reach a local minimum or a local 
optima point. You would not reach the global optima point. This is governed by the data 
and the starting conditions."
